Articolo;Prezzo 1 (€);Qt min 2;Prezzo 2 (€);Qt min 3;Prezzo 3 (€);Qt min 4;Prezzo 4 (€);Qt min 5;Prezzo 5 (€);Qt min 6;Prezzo 6 (€);Prezzo minimo;Cod transfert;
#GIFTING#CANVAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFTAXI;
#PHOTOBOOK#PHOTOTELLER;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFTAXI;
13339;0.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
14339;0.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
14491;1.15;6.00;0.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
14721;1.35;6.00;1.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
14722;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
14917A;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFYOUONTV;
14917B;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFYOUONTV;
14917C;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFYOUONTV;
14917D;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFYOUONTV;
15ORIZ474;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15ORIZ475;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15ORIZ476;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15ORIZ477;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15ORIZ478;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15ORIZ479;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15ORIZ480;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15ORIZ481;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15VERT474;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15VERT475;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15VERT476;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15VERT477;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15VERT478;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15VERT479;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15VERT480;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
15VERT481;1.65;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
17339;0.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
18X24F;2.65;6.00;2.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
20ORIZ474;2.65;6.00;2.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
20ORIZ475;2.65;6.00;2.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
20ORIZ476;2.65;6.00;2.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
20ORIZ477;2.65;6.00;2.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
20ORIZ478;2.65;6.00;2.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
